Date,Open,High,Low,Close,Volume,Name
03-01-2017,115.8,116.33,114.76,116.15,28781865,AAPL
04-01-2017,115.85,116.51,115.75,116.02,21118116,AAPL
05-01-2017,115.92,116.86,115.81,116.61,22193587,AAPL
06-01-2017,116.78,118.16,116.47,117.91,31751900,AAPL
09-01-2017,117.95,119.43,117.94,118.99,33561948,AAPL
10-01-2017,118.77,119.38,118.3,119.11,24462051,AAPL
11-01-2017,118.74,119.93,118.6,119.75,27588593,AAPL
12-01-2017,118.9,119.3,118.21,119.25,27086220,AAPL
13-01-2017,119.11,119.62,118.81,119.04,26111948,AAPL
17-01-2017,118.34,120.24,118.22,120,34439843,AAPL
18-01-2017,120,120.5,119.71,119.99,23712961,AAPL
19-01-2017,119.4,120.09,119.37,119.78,25597291,AAPL
20-01-2017,120.45,120.45,119.73,120,32597892,AAPL
23-01-2017,120,120.81,119.77,120.08,22050218,AAPL
24-01-2017,119.55,120.1,119.5,119.97,23211038,AAPL
25-01-2017,120.42,122.1,120.28,121.88,32586673,AAPL
26-01-2017,121.67,122.44,121.6,121.94,26337576,AAPL
27-01-2017,122.14,122.35,121.6,121.95,20562944,AAPL
30-01-2017,120.93,121.63,120.66,121.63,30377503,AAPL
31-01-2017,121.15,121.39,120.62,121.35,49200993,AAPL
01-02-2017,127.03,130.49,127.01,128.75,111985040,AAPL
02-02-2017,127.98,129.39,127.78,128.53,33710411,AAPL
03-02-2017,128.31,129.19,128.16,129.08,24507301,AAPL
06-02-2017,129.13,130.5,128.9,130.29,26845924,AAPL
07-02-2017,130.54,132.09,130.45,131.53,38183841,AAPL
08-02-2017,131.35,132.22,131.22,132.04,23004072,AAPL
09-02-2017,131.65,132.44,131.12,132.42,28349859,AAPL
10-02-2017,132.46,132.94,132.05,132.12,20065458,AAPL
13-02-2017,133.08,133.82,132.75,133.29,23035421,AAPL
14-02-2017,133.47,135.09,133.25,135.02,33226223,AAPL
15-02-2017,135.52,136.27,134.62,135.51,35623100,AAPL
16-02-2017,135.67,135.9,134.84,135.34,22584555,AAPL
17-02-2017,135.1,135.83,135.1,135.72,22198197,AAPL
21-02-2017,136.23,136.75,135.98,136.7,24507156,AAPL
22-02-2017,136.43,137.12,136.11,137.11,20836932,AAPL
23-02-2017,137.38,137.48,136.3,136.53,20788186,AAPL
24-02-2017,135.91,136.66,135.28,136.66,21776585,AAPL
27-02-2017,137.14,137.44,136.28,136.93,20257426,AAPL
28-02-2017,137.08,137.44,136.7,136.99,23482860,AAPL
01-03-2017,137.89,140.15,137.6,139.79,36414585,AAPL
02-03-2017,140,140.28,138.76,138.96,26210984,AAPL
03-03-2017,138.78,139.83,138.59,139.78,21571121,AAPL
06-03-2017,139.36,139.77,138.6,139.34,21750044,AAPL
07-03-2017,139.06,139.98,138.79,139.52,17446297,AAPL
08-03-2017,138.95,139.8,138.82,139,18707236,AAPL
09-03-2017,138.74,138.79,137.05,138.68,22155904,AAPL
10-03-2017,139.25,139.36,138.64,139.14,19612801,AAPL
13-03-2017,138.85,139.43,138.82,139.2,17421717,AAPL
14-03-2017,139.3,139.65,138.84,138.99,15309065,AAPL
15-03-2017,139.41,140.75,139.02,140.46,25691774,AAPL
16-03-2017,140.72,141.02,140.26,140.69,19231998,AAPL
17-03-2017,141,141,139.89,139.99,43884952,AAPL
20-03-2017,140.4,141.5,140.23,141.46,21542038,AAPL
21-03-2017,142.11,142.8,139.73,139.84,39529912,AAPL
