Date,Open,High,Low,Close,Volume,Name
02-01-2015,312.58,314.75,306.96,308.52,2788101,AMZN
05-01-2015,307.01,308.38,300.85,302.19,2774231,AMZN
06-01-2015,302.24,303,292.38,295.29,3519034,AMZN
07-01-2015,297.5,301.28,295.33,298.42,2640349,AMZN
08-01-2015,300.32,303.14,296.11,300.46,3088398,AMZN
09-01-2015,301.48,302.87,296.68,296.93,2592360,AMZN
12-01-2015,297.56,298.51,289.28,291.41,3421392,AMZN
13-01-2015,297.48,301.5,293.23,294.74,4136442,AMZN
14-01-2015,291.93,295.91,286.5,293.27,5538666,AMZN
15-01-2015,294,296,286.82,286.95,4419196,AMZN
16-01-2015,286.28,290.79,285.25,290.74,3478176,AMZN
20-01-2015,292.59,293.36,286.39,289.44,3075081,AMZN
21-01-2015,289.64,306,287.26,297.25,10065076,AMZN
22-01-2015,300,312.25,300,310.32,5362640,AMZN
23-01-2015,308.08,316.93,307.72,312.39,4496419,AMZN
26-01-2015,311.82,313,307.52,309.66,3169665,AMZN
27-01-2015,306.3,310.24,302.62,306.75,2920315,AMZN
28-01-2015,309.81,311.51,303.8,303.91,3063774,AMZN
29-01-2015,304.73,312.8,299.33,311.78,8656567,AMZN
30-01-2015,346.32,359.5,340.74,354.53,23856060,AMZN
02-02-2015,350.05,365,350.01,364.47,10231914,AMZN
03-02-2015,360.29,367.82,360.21,363.55,6212565,AMZN
04-02-2015,358.38,367.5,358.23,364.75,4169927,AMZN
05-02-2015,366,378.8,365.9,373.89,7247605,AMZN
06-02-2015,374.87,375.99,371.01,374.28,3892382,AMZN
09-02-2015,371,374.41,367.2,370.56,2724630,AMZN
10-02-2015,371.19,374.3,368.51,373,2287232,AMZN
11-02-2015,371.23,377.1,371.1,375.14,2786523,AMZN
12-02-2015,375.1,378.51,373.15,377.17,2791050,AMZN
13-02-2015,378.41,383,377.01,381.83,3475069,AMZN
17-02-2015,377.72,379.98,372.67,375.43,3673208,AMZN
18-02-2015,375.42,376.74,372.85,373.37,2650610,AMZN
19-02-2015,373.49,381.88,373.43,379,2953752,AMZN
20-02-2015,378.62,383.7,375.84,383.66,3258023,AMZN
23-02-2015,383.44,384.54,378,380.14,2176989,AMZN
24-02-2015,378.65,380.48,376.16,378.59,1921850,AMZN
25-02-2015,377.27,387.85,376.54,385.37,3174495,AMZN
26-02-2015,384.07,389.37,383.28,384.8,2687107,AMZN
27-02-2015,384,385.99,379.79,380.16,2532309,AMZN
02-03-2015,380.85,385.9,379.48,385.66,2139205,AMZN
03-03-2015,383.95,386.1,381.6,384.61,1946498,AMZN
04-03-2015,385.71,387.9,382.19,382.72,2259141,AMZN
05-03-2015,385.61,388.42,383.89,387.83,2693518,AMZN
06-03-2015,385.52,387,378.88,380.09,2627042,AMZN
09-03-2015,378.4,379.33,375.28,378.56,2311390,AMZN
10-03-2015,377.45,377.77,369.18,369.51,3120972,AMZN
11-03-2015,370.61,373.35,366.26,366.37,2495097,AMZN
12-03-2015,368.82,375.5,367.52,374.24,2810001,AMZN
13-03-2015,371.52,373.99,366.68,370.58,2611658,AMZN
16-03-2015,370.38,373.94,366.72,373.35,2354059,AMZN
17-03-2015,371.11,374.5,369.64,371.92,2036961,AMZN
18-03-2015,369.97,375.99,366.7,375.14,2654135,AMZN
19-03-2015,373.87,377.11,372.19,373.24,1915671,AMZN
20-03-2015,376.29,379.37,375.92,378.49,3763553,AMZN
23-03-2015,378.07,381.77,374.94,375.11,2239343,AMZN
24-03-2015,373.99,375.24,372.27,374.09,2228214,AMZN
25-03-2015,375.17,380.5,370.28,370.96,3429497,AMZN
26-03-2015,369.59,371.4,365.65,367.35,2929962,AMZN
27-03-2015,367.11,373.17,366.57,370.56,2609774,AMZN
30-03-2015,371.87,376.12,371.55,374.59,1820933,AMZN
31-03-2015,373.24,377.7,371.51,372.1,2506122,AMZN
01-04-2015,372.1,373.16,368.34,370.26,2458095,AMZN
02-04-2015,370.5,373.28,369,372.25,1875279,AMZN
06-04-2015,370.1,380.2,369.36,377.04,3050709,AMZN
07-04-2015,376.15,379.31,374.03,374.41,1954902,AMZN
08-04-2015,374.66,381.58,374.65,381.2,2636434,AMZN
09-04-2015,380.66,384.42,378.8,383.54,2392328,AMZN
10-04-2015,384.31,387.12,381.32,382.65,2573519,AMZN
13-04-2015,383.53,385.28,380.14,382.36,1894453,AMZN
14-04-2015,383.51,387.81,381.21,385.11,2583575,AMZN
15-04-2015,384.65,385.78,381.64,383.45,1933229,AMZN
16-04-2015,383.69,387.45,383.55,386.04,2080418,AMZN
17-04-2015,382.63,383.56,374.4,375.56,3839664,AMZN
20-04-2015,378.55,391.94,377,389.51,5016148,AMZN
21-04-2015,391.31,394.6,386.8,391.18,4643524,AMZN
22-04-2015,391.91,394.28,388,389.8,3474724,AMZN
23-04-2015,390.21,391.88,386.15,389.99,7979985,AMZN
24-04-2015,439,452.65,439,445.1,17176904,AMZN
27-04-2015,443.86,446.99,437.41,438.56,5430949,AMZN
28-04-2015,438.51,439,428.04,429.31,4140483,AMZN
29-04-2015,426.75,434.24,426.03,429.37,3621688,AMZN
30-04-2015,427.11,431.75,419.24,421.78,3647877,AMZN
01-05-2015,423.82,425.64,416,422.87,3565824,AMZN
04-05-2015,424.8,429.77,422.42,423.04,2270448,AMZN
05-05-2015,422.85,427.51,421.02,421.19,2856386,AMZN
06-05-2015,421.43,422.72,414.55,419.1,2552474,AMZN
07-05-2015,424.15,428.5,422.85,426.88,2766132,AMZN
08-05-2015,430.75,435.2,430.17,433.69,2908838,AMZN
11-05-2015,432.51,439,431.37,432.85,2393737,AMZN
12-05-2015,431.08,433.25,426.71,431.02,1947822,AMZN
13-05-2015,429.98,433.53,425.8,426.87,1996328,AMZN
14-05-2015,429.45,433,427.01,432.28,1888477,AMZN
15-05-2015,428,430.4,424.3,426,4240306,AMZN
18-05-2015,426,427.27,421.46,425.24,2390229,AMZN
19-05-2015,424.87,428.24,420.63,421.71,2465240,AMZN
20-05-2015,420.6,427.1,418.36,423.86,2196159,AMZN
21-05-2015,428,436.9,428,431.63,4121401,AMZN
22-05-2015,431.55,432.44,427.61,427.63,2020629,AMZN
26-05-2015,426.2,427,422,425.47,2244185,AMZN
27-05-2015,427.45,431.85,425.01,431.42,2231088,AMZN
28-05-2015,429.71,431.35,425.47,426.57,1912436,AMZN
29-05-2015,427.23,432.5,427.23,429.23,3016060,AMZN
01-06-2015,430.4,433.16,426.2,430.92,2253264,AMZN
02-06-2015,430.07,433.23,426.25,430.99,1669845,AMZN
03-06-2015,434.4,438.39,432.75,436.59,2727914,AMZN
04-06-2015,434.4,436.76,429.26,430.78,2510761,AMZN
05-06-2015,429.66,430.8,426.5,426.95,1907855,AMZN
08-06-2015,425.62,426.8,421.42,423.5,2172525,AMZN
09-06-2015,422.96,427.49,419.14,425.48,2288663,AMZN
10-06-2015,426.46,432.2,425.66,430.77,2172333,AMZN
11-06-2015,432.29,438.89,431.47,432.97,2922459,AMZN
12-06-2015,431.25,432.36,428.26,429.92,2054385,AMZN
15-06-2015,427.66,428.05,422.64,423.67,2050987,AMZN
16-06-2015,424.15,427.97,422.67,427.26,2297469,AMZN
17-06-2015,428.36,431.35,424.75,427.81,2185869,AMZN
18-06-2015,430.3,439.73,429.4,439.39,3378360,AMZN
19-06-2015,440.26,444.99,433.24,434.92,4495087,AMZN
22-06-2015,437,439.24,434.18,436.29,1823572,AMZN
23-06-2015,435.59,447.04,433.69,445.99,3245049,AMZN
24-06-2015,444.97,446.47,440.23,440.84,2620827,AMZN
25-06-2015,438.07,443.47,436.39,440.1,2237458,AMZN
26-06-2015,441.76,443.49,435.06,438.1,2624479,AMZN
29-06-2015,434.98,437,429,429.86,2753193,AMZN
30-06-2015,434.2,435.57,430.46,434.09,2596873,AMZN
01-07-2015,439.35,440,435.58,437.39,1987076,AMZN
02-07-2015,437,438.2,433.48,437.71,1343397,AMZN
06-07-2015,435.23,439.73,433.52,436.04,1903161,AMZN
07-07-2015,435.68,437.73,425.57,436.72,3454248,AMZN
08-07-2015,434.35,435.99,428.83,429.7,2383130,AMZN
09-07-2015,434.9,438.72,434.15,434.39,2271395,AMZN
10-07-2015,440.49,444.72,439,443.51,2400981,AMZN
13-07-2015,448.29,457.87,447.54,455.57,3956802,AMZN
14-07-2015,462.32,469.6,458.16,465.57,4736215,AMZN
15-07-2015,463.04,464.7,460.2,461.19,2987399,AMZN
16-07-2015,465.5,475.88,464.8,475.48,4095581,AMZN
17-07-2015,477.7,485.42,477.25,483.01,4932176,AMZN
20-07-2015,492.57,493.2,485.4,488.1,4752491,AMZN
21-07-2015,487.9,488.88,482.55,488,3181831,AMZN
22-07-2015,485.99,492.5,484.9,488.27,3114898,AMZN
23-07-2015,491.66,491.66,475.7,482.18,9374431,AMZN
24-07-2015,578.99,580.57,529.35,529.42,21909381,AMZN
27-07-2015,527.75,544.95,526.6,531.41,7490960,AMZN
28-07-2015,536,536.39,523.12,526.03,5273092,AMZN
29-07-2015,530.92,532.97,525.02,529,3752634,AMZN
30-07-2015,527.65,539.2,524.29,536.76,3743065,AMZN
31-07-2015,539.09,542.84,534.52,536.15,3025598,AMZN
03-08-2015,537.45,540.44,529.36,535.03,3014236,AMZN
04-08-2015,529.69,536.95,529.16,531.9,2934590,AMZN
05-08-2015,538.8,539.14,534.12,537.01,2889350,AMZN
06-08-2015,539.3,542.74,527.52,529.46,3820453,AMZN
07-08-2015,529.16,529.46,518.21,522.62,3969215,AMZN
10-08-2015,528.52,532.28,523,524,2615926,AMZN
11-08-2015,523.65,528.98,522,527.46,2676600,AMZN
12-08-2015,523.75,527.5,513.06,525.91,4014684,AMZN
13-08-2015,527.37,534.66,525.48,529.66,2895238,AMZN
14-08-2015,528.25,534.11,528.25,531.52,1994799,AMZN
17-08-2015,531.29,538.74,527.12,535.22,2581680,AMZN
18-08-2015,535.04,539.49,533,535.02,2071342,AMZN
19-08-2015,533.74,537.25,529,532.92,2324040,AMZN
20-08-2015,530.39,533.25,515.77,515.78,4374857,AMZN
21-08-2015,507.36,512.33,494.47,494.47,6636405,AMZN
24-08-2015,463.58,489.76,451,463.37,10063882,AMZN
25-08-2015,487.49,489.44,466.25,466.37,5643973,AMZN
26-08-2015,484.02,503.72,478.76,500.77,6323581,AMZN
27-08-2015,513.71,522.69,507.26,518.37,6064885,AMZN
28-08-2015,517.5,521.5,513.04,518.01,2733815,AMZN
31-08-2015,516.44,519.41,509.07,512.89,2982995,AMZN
01-09-2015,499.14,510,493.43,496.54,3824035,AMZN
02-09-2015,505.09,510.86,497.72,510.55,3689628,AMZN
03-09-2015,514.5,515.84,502.57,504.72,3098941,AMZN
04-09-2015,497.65,502.85,495.64,499,2666341,AMZN
08-09-2015,508.69,518.35,508.51,517.54,3777499,AMZN
09-09-2015,524,529.95,515.06,516.89,4338714,AMZN
10-09-2015,515.15,526.13,514.78,522.24,2562832,AMZN
11-09-2015,521.07,529.44,520.6,529.44,3218563,AMZN
14-09-2015,529.44,532.45,518.58,521.38,3127107,AMZN
15-09-2015,523.25,527.92,517.2,522.37,2845635,AMZN
16-09-2015,521.98,528.3,518.52,527.39,2248046,AMZN
17-09-2015,526.98,546.97,526.57,538.87,4124870,AMZN
18-09-2015,534.62,546.24,531.35,540.26,6125617,AMZN
21-09-2015,544.33,549.78,539.59,548.39,3265264,AMZN
22-09-2015,539.71,543.55,532.66,538.4,3824240,AMZN
23-09-2015,538.3,541.21,534,536.07,2228055,AMZN
24-09-2015,530.55,534.56,522.87,533.75,3481804,AMZN
25-09-2015,542.57,542.8,521.4,524.25,3910275,AMZN
28-09-2015,520.02,520.28,494.33,504.06,5383198,AMZN
29-09-2015,506,511.48,490.5,496.07,4443224,AMZN
30-09-2015,505.44,512.8,501.67,511.89,3990425,AMZN
01-10-2015,511,520.8,506,520.72,3741058,AMZN
02-10-2015,512.99,532.6,508.1,532.54,4576555,AMZN
05-10-2015,536.99,545.91,536,543.68,3352397,AMZN
06-10-2015,545.5,551.5,533.33,537.48,4502815,AMZN
07-10-2015,541.79,542,529,541.94,3788801,AMZN
08-10-2015,536.71,539.39,519.89,533.16,4648953,AMZN
09-10-2015,534.48,541.79,530.27,539.8,3527237,AMZN
12-10-2015,539.96,550.82,539.8,550.19,2761080,AMZN
13-10-2015,546.26,553.2,543.1,548.9,2737089,AMZN
14-10-2015,551.34,552.25,539.68,544.83,3561089,AMZN
15-10-2015,547.75,563,547,562.44,4914627,AMZN
16-10-2015,565.27,570.94,560.31,570.76,4218101,AMZN
19-10-2015,570.76,579,567.38,573.15,4326293,AMZN
20-10-2015,572,573,555.28,560.88,4327920,AMZN
21-10-2015,563.87,565.25,552.52,555.77,3343551,AMZN
22-10-2015,562.7,569.15,556.67,563.91,7250534,AMZN
23-10-2015,617.68,619.45,595.36,599.03,10671575,AMZN
26-10-2015,602.3,609.85,596.29,608.61,4259250,AMZN
27-10-2015,608.6,614.71,605.53,611.01,3721355,AMZN
28-10-2015,612.3,617.23,609.5,617.1,3911944,AMZN
29-10-2015,617.7,627.54,615.39,626.55,3858609,AMZN
30-10-2015,626.01,630.72,625.28,625.9,3840398,AMZN
02-11-2015,627.13,628.63,620.41,628.35,2792454,AMZN
03-11-2015,629.53,629.89,622,625.31,3242365,AMZN
04-11-2015,627.76,645.93,627.35,640.95,4831843,AMZN
05-11-2015,647.1,657,643.09,655.65,4707393,AMZN
06-11-2015,655,662.26,652,659.37,4082524,AMZN
09-11-2015,658.65,661.96,647.85,655.49,4040181,AMZN
10-11-2015,653,660,647.26,659.68,3464933,AMZN
11-11-2015,663.25,675.96,663.25,673.25,5373772,AMZN
12-11-2015,673,675.64,664.22,665.6,4246218,AMZN
13-11-2015,663.57,667,640.45,642.35,6213880,AMZN
16-11-2015,640.92,649.99,622.29,647.81,7403464,AMZN
17-11-2015,650.65,653.25,641,643.3,4291990,AMZN
18-11-2015,646.51,664.88,646.37,663.54,4315747,AMZN
19-11-2015,664.99,672.86,659,661.27,4674078,AMZN
20-11-2015,663.95,668.87,657.57,668.45,3860188,AMZN
23-11-2015,671.5,682.77,670.12,678.99,4367129,AMZN
24-11-2015,674.14,675.8,661.21,671.15,4533750,AMZN
25-11-2015,675,679.7,671.24,675.34,2697889,AMZN
27-11-2015,680.8,680.99,672.1,673.26,1966551,AMZN
30-11-2015,675.9,681.29,664.6,664.8,5474105,AMZN
01-12-2015,673.75,681,667.86,679.06,4739462,AMZN
02-12-2015,681,684.82,674.25,676.01,4259104,AMZN
03-12-2015,679.44,682.79,661.48,666.25,5064736,AMZN
04-12-2015,666,674.78,661.4,672.64,4534796,AMZN
07-12-2015,674.74,675.46,660.5,669.83,3732814,AMZN
08-12-2015,663.13,679.99,659.79,677.33,3651908,AMZN
