Date,Open,High,Low,Close,Volume,Name
03-01-2017,62.79,62.84,62.12,62.58,20694101,MSFT
04-01-2017,62.48,62.75,62.12,62.3,21339969,MSFT
05-01-2017,62.19,62.66,62.03,62.3,24875968,MSFT
06-01-2017,62.3,63.15,62.04,62.84,19922919,MSFT
09-01-2017,62.76,63.08,62.54,62.64,20382730,MSFT
10-01-2017,62.73,63.07,62.28,62.62,18593004,MSFT
11-01-2017,62.61,63.23,62.43,63.19,21517335,MSFT
12-01-2017,63.06,63.4,61.95,62.61,20968223,MSFT
13-01-2017,62.62,62.86,62.35,62.7,19422310,MSFT
17-01-2017,62.68,62.7,62.03,62.53,20663983,MSFT
18-01-2017,62.67,62.7,62.12,62.5,19670102,MSFT
19-01-2017,62.24,62.98,62.2,62.3,18451655,MSFT
20-01-2017,62.67,62.82,62.37,62.74,30213462,MSFT
23-01-2017,62.7,63.12,62.57,62.96,23097581,MSFT
24-01-2017,63.2,63.74,62.94,63.52,24672940,MSFT
25-01-2017,63.95,64.1,63.45,63.68,24654933,MSFT
26-01-2017,64.12,64.54,63.55,64.27,43554645,MSFT
27-01-2017,65.39,65.91,64.89,65.78,44817972,MSFT
30-01-2017,65.69,65.79,64.8,65.13,31651445,MSFT
31-01-2017,64.86,65.15,64.26,64.65,25270549,MSFT
01-02-2017,64.36,64.62,63.47,63.58,39671528,MSFT
02-02-2017,63.25,63.41,62.75,63.17,45827013,MSFT
03-02-2017,63.5,63.7,63.07,63.68,30301759,MSFT
06-02-2017,63.5,63.65,63.14,63.64,19796360,MSFT
07-02-2017,63.74,63.78,63.23,63.43,20277226,MSFT
08-02-2017,63.57,63.81,63.22,63.34,18096358,MSFT
09-02-2017,63.52,64.44,63.32,64.06,22644443,MSFT
10-02-2017,64.25,64.3,63.98,64,18170729,MSFT
13-02-2017,64.24,64.86,64.13,64.72,22920101,MSFT
14-02-2017,64.41,64.72,64.02,64.57,23108426,MSFT
15-02-2017,64.5,64.57,64.16,64.53,17005157,MSFT
16-02-2017,64.74,65.24,64.44,64.52,20546345,MSFT
17-02-2017,64.47,64.69,64.3,64.62,21248818,MSFT
21-02-2017,64.61,64.95,64.45,64.49,20655869,MSFT
22-02-2017,64.33,64.39,64.05,64.36,19292651,MSFT
23-02-2017,64.42,64.73,64.2,64.62,20273128,MSFT
24-02-2017,64.53,64.8,64.14,64.62,21796800,MSFT
27-02-2017,64.54,64.54,64.04,64.23,15871507,MSFT
28-02-2017,64.08,64.2,63.76,63.98,23239825,MSFT
01-03-2017,64.13,64.99,64.02,64.94,26937459,MSFT
02-03-2017,64.69,64.75,63.88,64.01,24539597,MSFT
03-03-2017,63.99,64.28,63.62,64.25,18139405,MSFT
06-03-2017,63.97,64.56,63.81,64.27,18750255,MSFT
07-03-2017,64.19,64.78,64.19,64.4,18520987,MSFT
08-03-2017,64.26,65.08,64.25,64.99,21510907,MSFT
09-03-2017,65.19,65.2,64.48,64.73,19846832,MSFT
10-03-2017,65.11,65.26,64.75,64.93,19538245,MSFT
13-03-2017,65.01,65.2,64.57,64.71,20100035,MSFT
14-03-2017,64.53,64.55,64.15,64.41,14280202,MSFT
15-03-2017,64.55,64.92,64.25,64.75,24833810,MSFT
16-03-2017,64.75,64.76,64.3,64.64,20674296,MSFT
17-03-2017,64.91,65.24,64.68,64.87,49219686,MSFT
20-03-2017,64.91,65.18,64.72,64.93,14598083,MSFT
21-03-2017,65.19,65.5,64.13,64.21,26640480,MSFT
22-03-2017,64.12,65.14,64.12,65.03,20680015,MSFT
23-03-2017,64.94,65.24,64.76,64.87,19269203,MSFT
24-03-2017,65.36,65.45,64.76,64.98,22617105,MSFT
27-03-2017,64.63,65.22,64.35,65.1,18614662,MSFT
28-03-2017,64.96,65.47,64.65,65.29,20080358,MSFT
29-03-2017,65.12,65.5,64.95,65.47,13618424,MSFT
30-03-2017,65.42,65.98,65.36,65.71,15122823,MSFT
31-03-2017,65.65,66.19,65.45,65.86,21040331,MSFT
03-04-2017,65.81,65.94,65.19,65.55,20400871,MSFT
04-04-2017,65.39,65.81,65.28,65.73,12997449,MSFT
05-04-2017,66.3,66.35,65.44,65.56,21448594,MSFT
06-04-2017,65.6,66.06,65.48,65.73,18103453,MSFT
07-04-2017,65.85,65.96,65.44,65.68,14108533,MSFT
10-04-2017,65.61,65.82,65.36,65.53,17952742,MSFT
11-04-2017,65.6,65.61,64.85,65.48,18791533,MSFT
12-04-2017,65.42,65.51,65.11,65.23,17108513,MSFT
13-04-2017,65.29,65.86,64.95,64.95,17896483,MSFT
17-04-2017,65.04,65.49,65.01,65.48,16689265,MSFT
18-04-2017,65.33,65.71,65.16,65.39,15155611,MSFT
19-04-2017,65.65,65.75,64.89,65.04,26992771,MSFT
20-04-2017,65.46,65.75,65.14,65.5,22299477,MSFT
21-04-2017,65.67,66.7,65.45,66.4,32522645,MSFT
24-04-2017,67.48,67.66,67.1,67.53,29769976,MSFT
25-04-2017,67.9,68.04,67.6,67.92,30242730,MSFT
26-04-2017,68.08,68.31,67.62,67.83,26190770,MSFT
27-04-2017,68.15,68.38,67.58,68.27,34970953,MSFT
28-04-2017,68.91,69.14,67.69,68.46,39548818,MSFT
01-05-2017,68.68,69.55,68.5,69.41,31954362,MSFT
02-05-2017,69.71,69.71,69.13,69.3,23906119,MSFT
03-05-2017,69.38,69.38,68.71,69.08,28927973,MSFT
04-05-2017,69.03,69.08,68.64,68.81,21749409,MSFT
05-05-2017,68.9,69.03,68.48,69,19128782,MSFT
08-05-2017,68.97,69.05,68.42,68.94,18566087,MSFT
09-05-2017,68.86,69.28,68.68,69.04,22858414,MSFT
10-05-2017,68.99,69.56,68.92,69.31,17977830,MSFT
11-05-2017,68.36,68.73,68.12,68.46,28789413,MSFT
12-05-2017,68.61,68.61,68.04,68.38,18714123,MSFT
15-05-2017,68.14,68.48,67.57,68.43,31530301,MSFT
16-05-2017,68.23,69.44,68.16,69.41,34956038,MSFT
17-05-2017,68.89,69.1,67.43,67.48,30548781,MSFT
18-05-2017,67.4,68.13,67.14,67.71,25201274,MSFT
19-05-2017,67.5,68.1,67.43,67.69,26961119,MSFT
22-05-2017,67.89,68.5,67.5,68.45,16237550,MSFT
23-05-2017,68.72,68.75,68.38,68.68,15425824,MSFT
24-05-2017,68.87,68.88,68.45,68.77,14666865,MSFT
25-05-2017,68.97,69.88,68.91,69.62,21854095,MSFT
26-05-2017,69.8,70.22,69.52,69.96,19827923,MSFT
30-05-2017,69.79,70.41,69.77,70.41,17072838,MSFT
31-05-2017,70.53,70.74,69.81,69.84,30436364,MSFT
01-06-2017,70.24,70.61,69.45,70.1,21603601,MSFT
02-06-2017,70.44,71.86,70.24,71.76,34770261,MSFT
05-06-2017,71.97,72.89,71.81,72.28,33316760,MSFT
06-06-2017,72.3,72.62,72.27,72.52,31511065,MSFT
07-06-2017,72.64,72.77,71.95,72.39,22301765,MSFT
08-06-2017,72.51,72.52,71.5,71.95,24588270,MSFT
09-06-2017,72.04,72.08,68.59,70.32,49187396,MSFT
12-06-2017,69.25,69.94,68.13,69.78,47761743,MSFT
13-06-2017,70.02,70.82,69.96,70.65,25258614,MSFT
14-06-2017,70.91,71.1,69.43,70.27,25510685,MSFT
15-06-2017,69.27,70.21,68.8,69.9,26068709,MSFT
16-06-2017,69.73,70.03,69.22,70,48345085,MSFT
19-06-2017,70.5,70.94,70.35,70.87,23798268,MSFT
20-06-2017,70.82,70.87,69.87,69.91,21512231,MSFT
21-06-2017,70.21,70.62,69.94,70.27,19891051,MSFT
22-06-2017,70.54,70.59,69.71,70.26,22965738,MSFT
23-06-2017,70.09,71.25,69.92,71.21,27617291,MSFT
26-06-2017,71.4,71.71,70.44,70.53,19606974,MSFT
27-06-2017,70.11,70.18,69.18,69.21,25215128,MSFT
28-06-2017,69.21,69.84,68.79,69.8,25806200,MSFT
29-06-2017,69.38,69.49,68.09,68.49,28918715,MSFT
30-06-2017,68.78,69.38,68.74,68.93,24161068,MSFT
03-07-2017,69.33,69.6,68.02,68.17,16165538,MSFT
05-07-2017,68.26,69.44,68.22,69.08,21176272,MSFT
06-07-2017,68.27,68.78,68.12,68.57,21117572,MSFT
07-07-2017,68.7,69.84,68.7,69.46,16878317,MSFT
10-07-2017,69.46,70.25,69.2,69.98,15014503,MSFT
11-07-2017,70.11,70.68,69.75,69.99,17460022,MSFT
12-07-2017,70.69,71.28,70.55,71.15,17750925,MSFT
13-07-2017,71.5,72.04,71.31,71.77,20269816,MSFT
14-07-2017,72.24,73.27,71.96,72.78,25868086,MSFT
17-07-2017,72.8,73.45,72.72,73.35,21803907,MSFT
18-07-2017,73.09,73.39,72.66,73.3,26435296,MSFT
19-07-2017,73.5,74.04,73.45,73.86,22416222,MSFT
20-07-2017,74.18,74.3,73.28,74.22,42361025,MSFT
21-07-2017,73.45,74.29,73.17,73.79,46717082,MSFT
24-07-2017,73.53,73.75,73.13,73.6,21394826,MSFT
25-07-2017,73.8,74.31,73.5,74.19,22018681,MSFT
26-07-2017,74.34,74.38,73.81,74.05,16252233,MSFT
27-07-2017,73.76,74.42,72.32,73.16,36844220,MSFT
28-07-2017,72.67,73.31,72.54,73.04,18306680,MSFT
31-07-2017,73.3,73.44,72.41,72.7,23600054,MSFT
01-08-2017,73.1,73.42,72.49,72.58,20823890,MSFT
